review_category,candidate_id,image_id,image_number,run_date,track_id,track_length,x,y,snr,blob_size,artifact_score,artifact_flags,candidate_score,time,review_reason
top_unmatched_temporal_track,1356985927-0354,N1356985927,1356985927,2000-12-31,T0271,3,558.34,822.42,14.54,5,0.00,,0.6866,2000-12-31T20:19:56.828,"3 linked frames; net motion 1.03, -35.46 px."
top_unmatched_temporal_track,1356976983-0402,N1356976983,1356976983,2000-12-31,T0044,3,713.50,944.42,8.78,13,0.00,,0.6862,2000-12-31T17:50:52.890,"3 linked frames; net motion 19.79, -60.08 px."
top_unmatched_temporal_track,1356985927-0074,N1356985927,1356985927,2000-12-31,T0222,3,905.42,252.21,35.64,3,0.00,,0.6822,2000-12-31T20:19:56.828,"3 linked frames; net motion 18.88, -18.89 px."
top_unmatched_temporal_track,1356985927-0055,N1356985927,1356985927,2000-12-31,T0220,3,451.71,196.90,44.99,3,0.00,,0.6815,2000-12-31T20:19:56.828,"3 linked frames; net motion -4.35, -46.68 px."
top_unmatched_temporal_track,1356976983-0095,N1356976983,1356976983,2000-12-31,T0015,3,389.49,311.88,19.69,4,0.00,,0.6753,2000-12-31T17:50:52.890,"3 linked frames; net motion 3.54, 74.61 px."
top_unmatched_temporal_track,1356985927-0198,N1356985927,1356985927,2000-12-31,T0245,3,433.66,575.91,41.70,3,0.00,,0.6735,2000-12-31T20:19:56.828,"3 linked frames; net motion -77.88, -36.40 px."
top_unmatched_temporal_track,1356976983-0286,N1356976983,1356976983,2000-12-31,T0033,3,349.71,798.22,44.32,5,0.00,,0.6687,2000-12-31T17:50:52.890,"3 linked frames; net motion 68.61, -6.47 px."
strong_single_frame_candidate,1357352003-0272,N1357352003,1357352003,2001-01-05,T0114,1,626.87,751.47,564.80,11,0.15,,0.4375,2001-01-05T02:01:10.293,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357811330-0180,N1357811330,1357811330,2001-01-10,T0372,1,637.48,276.04,434.10,9,0.15,,0.4375,2001-01-10T09:35:58.112,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357811330-0399,N1357811330,1357811330,2001-01-10,T0394,1,807.98,614.96,428.93,34,0.00,,0.4375,2001-01-10T09:35:58.112,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1358099796-0108,N1358099796,1358099796,2001-01-13,T0814,1,812.74,818.98,371.83,10,0.15,,0.4375,2001-01-13T17:44:18.165,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357658284-0195,N1357658284,1357658284,2001-01-08,T2799,1,713.61,689.45,370.72,16,0.00,,0.4375,2001-01-08T15:04:41.200,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1358105418-1483,N1358105418,1358105418,2001-01-13,T1082,1,28.87,888.11,363.68,17,0.00,,0.4375,2001-01-13T19:17:24.095,"Bright and reviewable, but not temporally linked yet."
