blind_id,image_id,run_date,crop_url,x,y,snr,blob_size,artifact_flags_visible,frame_count,motion_consistency,reviewer_label,reviewer_confidence,reviewer_note,needs_second_review
BR-042,N1357685285,2001-01-08,/api/detection-crop?image=1357685285&x=475&y=382&crop=128,474.82,382.50,379.47,6,,1,1.000,,,,
BR-043,N1358063287,2001-01-13,/api/detection-crop?image=1358063287&x=402&y=601&crop=128,402.00,601.00,148.97,1,single_pixel|too_small,1,,,,,
BR-044,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=923&y=771&crop=128,922.55,771.33,16.06,3,,3,0.789,,,,
BR-045,N1358063287,2001-01-13,/api/detection-crop?image=1358063287&x=492&y=4&crop=128,492.00,4.00,139.15,1,single_pixel|too_small,1,,,,,
BR-046,N1357810970,2001-01-10,/api/detection-crop?image=1357810970&x=956&y=355&crop=128,955.53,354.96,7.92,87,,1,,,,,
BR-047,N1357676116,2001-01-08,/api/detection-crop?image=1357676116&x=133&y=117&crop=128,133.00,117.00,120.42,1,single_pixel|too_small,1,,,,,
BR-048,N1356981845,2000-12-31,/api/detection-crop?image=1356981845&x=402&y=601&crop=128,402.00,601.00,128.17,1,single_pixel|too_small,1,,,,,
BR-049,N1357029177,2001-01-01,/api/detection-crop?image=1357029177&x=731&y=212&crop=128,731.37,212.49,27.55,75,,2,1.000,,,,
BR-050,N1358108118,2001-01-13,/api/detection-crop?image=1358108118&x=402&y=601&crop=128,402.00,601.00,131.08,1,single_pixel|too_small,1,,,,,
BR-051,N1357628584,2001-01-08,/api/detection-crop?image=1357628584&x=940&y=419&crop=128,939.70,418.53,223.82,11,,1,1.000,,,,
BR-052,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=901&y=316&crop=128,900.63,316.07,30.93,6,,3,0.925,,,,
BR-053,N1357664584,2001-01-08,/api/detection-crop?image=1357664584&x=154&y=752&crop=128,153.93,752.40,243.76,4,,1,1.000,,,,
BR-054,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=403&y=656&crop=128,402.62,656.20,41.20,5,,3,0.919,,,,
BR-055,N1357685285,2001-01-08,/api/detection-crop?image=1357685285&x=402&y=601&crop=128,402.00,601.00,147.11,1,single_pixel|too_small,1,,,,,
BR-056,N1358063118,2001-01-13,/api/detection-crop?image=1358063118&x=402&y=601&crop=128,402.00,601.00,129.67,1,single_pixel|too_small,1,,,,,
BR-057,N1358108287,2001-01-13,/api/detection-crop?image=1358108287&x=731&y=735&crop=128,731.00,735.00,129.94,1,single_pixel|too_small,1,,,,,
BR-058,N1357685116,2001-01-08,/api/detection-crop?image=1357685116&x=402&y=601&crop=128,402.00,601.00,128.88,1,single_pixel|too_small,1,,,,,
BR-059,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=905&y=252&crop=128,905.42,252.21,35.64,3,,3,0.779,,,,
BR-060,N1357667794,2001-01-08,/api/detection-crop?image=1357667794&x=895&y=682&crop=128,895.25,681.83,270.60,4,,1,1.000,,,,
BR-061,N1357667116,2001-01-08,/api/detection-crop?image=1357667116&x=368&y=1009&crop=128,367.96,1009.04,402.78,5,,1,1.000,,,,
BR-062,N1357646584,2001-01-08,/api/detection-crop?image=1357646584&x=616&y=779&crop=128,616.14,779.43,205.13,3,,1,1.000,,,,
BR-063,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=452&y=197&crop=128,451.71,196.90,44.99,3,,3,0.776,,,,
BR-064,N1356976983,2000-12-31,/api/detection-crop?image=1356976983&x=350&y=798&crop=128,349.71,798.22,44.32,5,,3,0.725,,,,
BR-065,N1357691416,2001-01-09,/api/detection-crop?image=1357691416&x=522&y=747&crop=128,522.00,747.00,176.83,1,single_pixel|too_small,1,,,,,
BR-066,N1357685285,2001-01-08,/api/detection-crop?image=1357685285&x=505&y=306&crop=128,504.70,306.29,162.69,6,,1,1.000,,,,
BR-067,N1358114587,2001-01-13,/api/detection-crop?image=1358114587&x=260&y=430&crop=128,259.57,429.91,229.84,9,,1,1.000,,,,
BR-068,N1357667285,2001-01-08,/api/detection-crop?image=1357667285&x=165&y=31&crop=128,164.95,31.31,287.36,4,,1,1.000,,,,
BR-069,N1357811330,2001-01-10,/api/detection-crop?image=1357811330&x=808&y=615&crop=128,807.98,614.96,428.93,34,,1,1.000,,,,
BR-070,N1357658284,2001-01-08,/api/detection-crop?image=1357658284&x=714&y=689&crop=128,713.61,689.45,370.72,16,,1,1.000,,,,
BR-071,N1357352003,2001-01-05,/api/detection-crop?image=1357352003&x=824&y=536&crop=128,823.83,535.84,564.80,5,,1,1.000,,,,
BR-072,N1356977373,2000-12-31,/api/detection-crop?image=1356977373&x=402&y=601&crop=128,402.00,601.00,118.77,1,single_pixel|too_small,1,,,,,
BR-073,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=434&y=576&crop=128,433.66,575.91,41.70,3,,3,0.744,,,,
