run_date,track_id,frame_count,first_frame_index,last_frame_index,first_image_id,last_image_id,start_time,end_time,start_x,start_y,end_x,end_y,net_dx_px,net_dy_px,median_x,median_y,median_peak_snr,mean_step_px,step_cv,motion_consistency,candidate_score,reason,candidate_ids
2000-12-31,T0362,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,859.48,919.10,821.55,841.09,-37.93,-78.01,859.48,882.28,59.64,60.25,0.256,0.744,0.6985,"3 frame(s); median area 4.0 px; net motion dx=-37.9, dy=-78.0; flags: none",1356990399-0279|1356990789-0345|1356991149-0448
2000-12-31,T0155,3,3,5,N1356981455,N1356982205,2000-12-31T19:05:24.859,2000-12-31T19:17:54.854,343.62,791.13,369.22,762.60,25.60,-28.53,354.54,791.13,18.92,65.48,0.219,0.781,0.6962,"3 frame(s); median area 5.0 px; net motion dx=25.6, dy=-28.5; flags: none",1356981455-0275|1356981845-0275|1356982205-0325
2000-12-31,T0131,3,3,5,N1356981455,N1356982205,2000-12-31T19:05:24.859,2000-12-31T19:17:54.854,909.59,321.38,825.19,245.49,-84.40,-75.89,840.21,314.45,14.01,70.15,0.006,0.994,0.6950,"3 frame(s); median area 4.0 px; net motion dx=-84.4, dy=-75.9; flags: none",1356981455-0109|1356981845-0086|1356982205-0163
2000-12-31,T0211,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,493.50,54.00,349.54,5.50,-143.96,-48.50,427.55,16.54,13.99,77.32,0.019,0.981,0.6917,"3 frame(s); median area 4.0 px; net motion dx=-144.0, dy=-48.5; flags: none",1356985927-0012|1356986317-0004|1356986677-0014
2000-12-31,T0243,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,752.72,567.15,705.67,543.31,-47.05,-23.84,752.72,556.57,33.22,37.70,0.588,0.412,0.6904,"3 frame(s); median area 7.0 px; net motion dx=-47.1, dy=-23.8; flags: none",1356985927-0189|1356986317-0202|1356986677-0261
2000-12-31,T0237,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,180.25,527.56,238.39,496.88,58.14,-30.68,182.13,499.18,21.91,42.37,0.329,0.671,0.6868,"3 frame(s); median area 5.0 px; net motion dx=58.1, dy=-30.7; flags: none",1356985927-0173|1356986317-0180|1356986677-0240
2000-12-31,T0271,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,558.34,822.42,559.37,786.96,1.03,-35.46,559.37,811.53,14.54,26.99,0.153,0.847,0.6866,"3 frame(s); median area 5.0 px; net motion dx=1.0, dy=-35.5; flags: none",1356985927-0354|1356986317-0307|1356986677-0359
2000-12-31,T0044,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,713.50,944.42,733.29,884.34,19.79,-60.08,733.29,931.79,8.78,70.72,0.016,0.984,0.6862,"3 frame(s); median area 5.0 px; net motion dx=19.8, dy=-60.1; flags: none",1356976983-0402|1356977373-0355|1356977733-0409
2000-12-31,T0222,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,905.42,252.21,924.30,233.32,18.88,-18.89,915.65,252.21,32.91,40.62,0.221,0.779,0.6822,"3 frame(s); median area 3.0 px; net motion dx=18.9, dy=-18.9; flags: none",1356985927-0074|1356986317-0098|1356986677-0158
2000-12-31,T0220,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,451.71,196.90,447.36,150.22,-4.35,-46.68,451.71,184.83,32.73,38.20,0.224,0.776,0.6815,"3 frame(s); median area 3.0 px; net motion dx=-4.4, dy=-46.7; flags: none",1356985927-0055|1356986317-0070|1356986677-0132
2000-12-31,T0015,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,389.49,311.88,393.03,386.49,3.54,74.61,389.49,360.26,21.33,38.94,0.261,0.739,0.6753,"3 frame(s); median area 4.0 px; net motion dx=3.5, dy=74.6; flags: none",1356976983-0095|1356977373-0113|1356977733-0205
2000-12-31,T0245,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,433.66,575.91,355.78,539.51,-77.88,-36.40,362.40,575.91,38.85,56.90,0.256,0.744,0.6735,"3 frame(s); median area 3.0 px; net motion dx=-77.9, dy=-36.4; flags: none",1356985927-0198|1356986317-0219|1356986677-0257
2000-12-31,T0033,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,349.71,798.22,418.32,791.75,68.61,-6.47,374.83,798.22,44.32,34.77,0.275,0.725,0.6687,"3 frame(s); median area 3.0 px; net motion dx=68.6, dy=-6.5; flags: none",1356976983-0286|1356977373-0269|1356977733-0369
2000-12-31,T0356,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,61.37,761.70,34.72,759.72,-26.65,-1.98,61.37,759.72,14.26,71.23,0.129,0.871,0.6659,"3 frame(s); median area 4.0 px; net motion dx=-26.7, dy=-2.0; flags: none",1356990399-0226|1356990789-0285|1356991149-0408
2000-12-31,T0345,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,542.62,486.42,551.50,377.77,8.88,-108.65,547.09,448.92,35.60,54.53,0.307,0.693,0.6607,"3 frame(s); median area 3.0 px; net motion dx=8.9, dy=-108.7; flags: none",1356990399-0143|1356990789-0154|1356991149-0239
2000-12-31,T0157,3,3,5,N1356981455,N1356982205,2000-12-31T19:05:24.859,2000-12-31T19:17:54.854,714.00,846.17,693.66,907.84,-20.34,61.67,698.78,890.62,24.60,32.47,0.447,0.553,0.6484,"3 frame(s); median area 4.0 px; net motion dx=-20.3, dy=61.7; flags: none",1356981455-0298|1356981845-0293|1356982205-0392
2000-12-31,T0249,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,544.17,658.43,490.49,619.83,-53.68,-38.60,538.57,658.43,39.28,55.15,0.486,0.514,0.6410,"3 frame(s); median area 4.0 px; net motion dx=-53.7, dy=-38.6; flags: none",1356985927-0223|1356986317-0261|1356986677-0290
2000-12-31,T0022,2,0,1,N1356976983,N1356977373,2000-12-31T17:50:52.890,2000-12-31T17:57:22.887,272.74,567.69,225.96,507.49,-46.78,-60.20,249.35,537.59,44.14,76.24,0.000,1.000,0.6375,"2 frame(s); median area 26.0 px; net motion dx=-46.8, dy=-60.2; flags: none",1356976983-0186|1356977373-0169
