run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-04,T0275,3,N1357335945,N1357336695,11.96,41.56,0.870,0.7266,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357335945-0073|1357336335-0085|1357336695-0065
2001-01-11,T0279,3,N1357900665,N1357901415,10.61,59.62,0.994,0.7248,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357900665-0027|1357901055-0021|1357901415-0050
2001-01-01,T0457,3,N1357028427,N1357029177,26.23,56.73,0.849,0.7247,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357028427-0259|1357028817-0249|1357029177-0295
2001-01-08,T2932,3,N1357664415,N1357665093,35.70,40.72,0.843,0.7231,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357664415-0041|1357664584-0048|1357665093-0027
2001-01-01,T0472,3,N1357028427,N1357029177,33.36,37.90,0.836,0.7214,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357028427-0343|1357028817-0353|1357029177-0410
2001-01-01,T0202,3,N1357019483,N1357020233,27.52,65.51,0.935,0.7212,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357019483-0002|1357019873-0009|1357020233-0007
2001-01-08,T4844,3,N1357685116,N1357685794,11.33,12.39,0.956,0.7195,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357685116-0840|1357685285-0767|1357685794-0212
2000-12-31,T0340,3,N1356990399,N1356991149,29.59,49.67,0.826,0.7190,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356990399-0086|1356990789-0114|1356991149-0259
2001-01-08,T1463,3,N1357646415,N1357647093,11.73,40.03,0.939,0.7178,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357646415-1213|1357646584-0672|1357647093-0972
2001-01-01,T0320,3,N1357023955,N1357024705,22.06,75.40,0.990,0.7174,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357023955-0028|1357024345-0025|1357024705-0033
2001-01-05,T0273,3,N1357369502,N1357370252,14.85,32.20,0.963,0.7174,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357369502-0028|1357369892-0029|1357370252-0007
2001-01-01,T0558,3,N1357032899,N1357033649,22.30,59.68,0.982,0.7169,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357032899-0151|1357033289-0134|1357033649-0167
2000-12-31,T0334,3,N1356990399,N1356991149,24.00,62.79,0.840,0.7166,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356990399-0056|1356990789-0047|1356991149-0165
2000-12-31,T0244,3,N1356985927,N1356986677,47.55,40.38,0.914,0.7160,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356985927-0197|1356986317-0199|1356986677-0248
2001-01-01,T0329,3,N1357023955,N1357024705,17.61,33.07,0.980,0.7132,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357023955-0112|1357024345-0108|1357024705-0168
2001-01-13,T0481,3,N1358063118,N1358063796,11.81,16.43,0.914,0.7120,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358063118-0640|1358063287-0543|1358063796-0226
2001-01-01,T0648,3,N1357037371,N1357038121,19.73,21.12,0.824,0.7119,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357037371-0125|1357037761-0111|1357038121-0181
2000-12-31,T0264,3,N1356985927,N1356986677,76.05,31.00,0.789,0.7097,strong_temporal_review,appears in 3+ frames; moderate step consistency; high SNR,1356985927-0308|1356986317-0294|1356986677-0372
2001-01-13,T0482,3,N1358063118,N1358063796,11.40,23.57,0.812,0.7090,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358063118-0657|1358063287-0533|1358063796-0376
2001-01-11,T0194,3,N1357889469,N1357890219,10.41,51.40,0.936,0.7090,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357889469-0015|1357889859-0034|1357890219-0039
2001-01-05,T0331,3,N1357373974,N1357374724,13.67,75.10,0.955,0.7083,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357373974-0051|1357374364-0060|1357374724-0054
2001-01-08,T3727,3,N1357673416,N1357674094,12.00,74.38,0.887,0.7064,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357673416-2855|1357673585-1429|1357674094-2713
