candidate_id,image_id,run_date,review_batch,x,y,geometry_readiness,subobserver_lon_w,subsolar_lon_w,center_resolution_km_px,latitude_bounds,longitude_w_bounds,required_method,next_step
1356990399-0279,N1356990399,2000-12-31,02_temporal_persistence_check,859.48,919.10,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0189,N1356985927,2000-12-31,02_temporal_persistence_check,752.72,567.15,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0173,N1356985927,2000-12-31,02_temporal_persistence_check,180.25,527.56,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0095,N1356976983,2000-12-31,02_temporal_persistence_check,389.49,311.88,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0198,N1356985927,2000-12-31,02_temporal_persistence_check,433.66,575.91,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0286,N1356976983,2000-12-31,02_temporal_persistence_check,349.71,798.22,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357685116-0026,N1357685116,2001-01-08,03_negative_artifact_examples,715.00,96.00,image_bounds_only,301.752,46.13,79.86619,-86.394..-21.196,317.408..41.102,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357806858-0398,N1357806858,2001-01-10,03_negative_artifact_examples,402.00,601.00,frame_context_only,84.171,192.595,85.47347,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357811330-0392,N1357811330,2001-01-10,03_negative_artifact_examples,402.00,601.00,frame_context_only,129.085,237.648,85.68636,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1358063118-0224,N1358063118,2001-01-13,03_negative_artifact_examples,988.00,902.00,image_bounds_only,138.92,254.23,98.30992,7.22..83.569,146.312..212.411,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357352003-0215,N1357352003,2001-01-05,03_negative_artifact_examples,402.00,601.00,frame_context_only,200.379,290.418,66.98342,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357691416-0701,N1357691416,2001-01-09,03_negative_artifact_examples,522.00,747.00,image_bounds_only,4.997,109.598,80.14677,-84.43..-20.152,20.961..101.536,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358117118-0283,N1358117118,2001-01-13,03_negative_artifact_examples,318.00,946.00,image_bounds_only,321.715,78.24,101.15423,-84.29..-11.907,349.066..56.509,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357806858-0226,N1357806858,2001-01-10,03_negative_artifact_examples,623.00,335.00,frame_context_only,84.171,192.595,85.47347,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1358108287-0180,N1358108287,2001-01-13,03_negative_artifact_examples,402.00,601.00,image_bounds_only,232.783,349.113,100.68548,7.524..83.398,242.913..306.84,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357352003-0267,N1357352003,2001-01-05,03_negative_artifact_examples,731.00,735.00,frame_context_only,200.379,290.418,66.98342,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357811330-0216,N1357811330,2001-01-10,03_negative_artifact_examples,623.00,335.00,frame_context_only,129.085,237.648,85.68636,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1358117287-0194,N1358117287,2001-01-13,03_negative_artifact_examples,402.00,601.00,image_bounds_only,323.253,79.781,101.16235,-83.573..-11.751,350.549..56.438,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358063287-0194,N1358063287,2001-01-13,03_negative_artifact_examples,402.00,601.00,image_bounds_only,140.458,255.771,98.31792,6.866..85.778,136.4..220.607,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685285-0182,N1357685285,2001-01-08,03_negative_artifact_examples,402.00,601.00,image_bounds_only,303.288,47.672,79.87299,-85.004..-20.972,318.909..36.268,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357658284-0162,N1357658284,2001-01-08,03_negative_artifact_examples,402.00,601.00,image_bounds_only,32.248,135.655,78.68317,-84.017..-20.805,46.907..128.246,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357676285-0173,N1357676285,2001-01-08,03_negative_artifact_examples,402.00,601.00,image_bounds_only,212.941,317.003,79.47407,17.119..83.478,210.06..284.098,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357649284-0160,N1357649284,2001-01-08,03_negative_artifact_examples,402.00,601.00,image_bounds_only,301.911,44.986,78.29132,-86.958..-20.902,316.249..48.364,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357667285-0154,N1357667285,2001-01-08,03_negative_artifact_examples,402.00,601.00,image_bounds_only,122.598,226.334,79.07746,17.212..85.95,102.686..198.753,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358063287-0001,N1358063287,2001-01-13,03_negative_artifact_examples,492.00,4.00,image_bounds_only,140.458,255.771,98.31792,6.866..85.778,136.4..220.607,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357631284-0168,N1357631284,2001-01-08,03_negative_artifact_examples,402.00,601.00,image_bounds_only,121.248,223.649,77.51497,16.57..84.39,114.043..193.197,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357352003-0272,N1357352003,2001-01-05,04_strong_single_frame_check,626.87,751.47,frame_context_only,200.379,290.418,66.98342,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357811330-0180,N1357811330,2001-01-10,04_strong_single_frame_check,637.48,276.04,frame_context_only,129.085,237.648,85.68636,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357811330-0399,N1357811330,2001-01-10,04_strong_single_frame_check,807.98,614.96,frame_context_only,129.085,237.648,85.68636,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1358099796-0108,N1358099796,2001-01-13,04_strong_single_frame_check,812.74,818.98,image_bounds_only,147.772,263.915,100.23837,6.914..83.322,157.755..220.197,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357658284-0195,N1357658284,2001-01-08,04_strong_single_frame_check,713.61,689.45,image_bounds_only,32.248,135.655,78.68317,-84.017..-20.805,46.907..128.246,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358105418-1483,N1358105418,2001-01-13,04_strong_single_frame_check,28.87,888.11,image_bounds_only,204.104,320.371,100.53454,7.056..84.878,204.166..288.532,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357667285-0063,N1357667285,2001-01-08,04_strong_single_frame_check,164.06,271.23,image_bounds_only,122.598,226.334,79.07746,17.212..85.95,102.686..198.753,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357646415-0076,N1357646415,2001-01-08,04_strong_single_frame_check,689.56,470.36,image_bounds_only,273.275,16.244,78.16761,-86.713..-19.723,287.608..20.953,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358114587-0079,N1358114587,2001-01-13,04_strong_single_frame_check,259.57,429.91,image_bounds_only,296.112,52.581,101.01918,-84.435..-10.49,323.39..35.467,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357628584-0070,N1357628584,2001-01-08,04_strong_single_frame_check,939.70,418.53,image_bounds_only,94.15,196.448,77.39938,16.605..84.875,87.497..177.712,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357352003-0194,N1357352003,2001-01-05,04_strong_single_frame_check,380.15,543.48,frame_context_only,200.379,290.418,66.98342,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357637415-0069,N1357637415,2001-01-08,04_strong_single_frame_check,95.74,471.57,image_bounds_only,182.943,285.576,77.77898,16.833..83.583,179.527..263.49,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
