image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1358069418,T0736,1358069418-1121,0.4433,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,969.09,851.19,10.43,5,0.00,5,10.43,9.22,46.12,1.13,3.82,,"2 frame(s); median area 4.0 px; net motion dx=-0.4, dy=-12.2; flags: none"
N1358069587,T0736,1358069587-0832,0.4433,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,968.66,839.02,8.16,3,0.00,3,8.16,7.91,23.74,1.03,4.39,,"2 frame(s); median area 4.0 px; net motion dx=-0.4, dy=-12.2; flags: none"
N1358114418,T1648,1358114418-0756,0.4423,2,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,252.98,835.69,8.70,3,0.00,3,8.70,8.09,24.27,1.08,4.39,,"2 frame(s); median area 3.5 px; net motion dx=71.5, dy=-20.9; flags: none"
N1358115096,T1648,1358115096-0453,0.4423,2,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,324.47,814.77,13.73,4,0.00,4,13.73,12.03,48.13,1.14,4.47,,"2 frame(s); median area 3.5 px; net motion dx=71.5, dy=-20.9; flags: none"
N1358114418,T1707,1358114418-2622,0.4421,2,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,78.75,987.00,8.82,4,0.00,4,8.82,8.82,35.30,1.00,3.60,,"2 frame(s); median area 4.0 px; net motion dx=8.2, dy=-78.0; flags: none"
N1358115096,T1707,1358115096-1872,0.4421,2,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,86.97,909.04,9.39,4,0.00,4,9.39,8.31,33.23,1.13,1.73,,"2 frame(s); median area 4.0 px; net motion dx=8.2, dy=-78.0; flags: none"
N1358069418,T0692,1358069418-0389,0.4421,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,680.45,776.50,8.34,4,0.00,4,8.34,7.96,31.82,1.05,2.24,,"2 frame(s); median area 3.5 px; net motion dx=6.4, dy=-13.1; flags: none"
N1358069587,T0692,1358069587-0361,0.4421,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,686.82,763.44,14.04,3,0.00,3,14.04,10.71,32.14,1.31,4.39,,"2 frame(s); median area 3.5 px; net motion dx=6.4, dy=-13.1; flags: none"
N1358114418,T1627,1358114418-0451,0.4420,3,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,454.68,793.63,9.49,3,0.00,3,9.49,8.59,25.77,1.11,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-42.3, dy=-19.8; flags: none"
N1358114587,T1627,1358114587-0451,0.4420,3,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,460.05,794.63,8.69,3,0.00,3,8.69,7.79,23.36,1.12,4.39,,"3 frame(s); median area 3.0 px; net motion dx=-42.3, dy=-19.8; flags: none"
N1358115096,T1627,1358115096-0223,0.4420,3,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,412.39,773.81,13.10,4,0.00,4,13.10,8.86,35.45,1.48,3.16,,"3 frame(s); median area 3.0 px; net motion dx=-42.3, dy=-19.8; flags: none"
